timestamp,api_id,url,status_code,is_up,total_latency_ms,dns_latency_ms,tcp_latency_ms,tls_latency_ms,server_processing_latency_ms,content_download_latency_ms,error_message,url_type
2025-10-31T18:27:34.376421Z,69044ea68e2cd2ae4369675f,,200,True,66.3,3.23,16.14,25.24,0.12,21.57,,API
2025-10-31T18:27:03.435938Z,6904ba06903bb6c7908e8c4e,,200,True,332.71,3.07,100.28,127.81,0.24,101.31,,API
2025-10-31T18:27:03.220402Z,69048504db729802ac7149e9,,200,True,207.52,0.03,205.4,0,0.23,1.87,,API
2025-10-31T18:27:02.214372Z,690466917ea85a3109f48ddb,,200,True,453.88,2.93,110.69,230.25,0.3,109.72,,Website
2025-10-31T18:26:01.511069Z,6904ba06903bb6c7908e8c4e,,200,True,289.05,3.02,102.0,118.6,0.19,65.24,,API
2025-10-31T18:26:01.284368Z,69048504db729802ac7149e9,,200,True,219.33,0.05,215.48,0,0.25,3.55,,API
2025-10-31T18:26:00.344892Z,690466917ea85a3109f48ddb,,200,True,406.79,3.05,97.44,204.94,0.25,101.1,,Website
2025-10-31T18:24:59.468647Z,6904ba06903bb6c7908e8c4e,,200,True,443.03,4.63,209.45,131.23,0.11,97.61,,API
2025-10-31T18:24:57.179117Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2267 ms: Could not connect to server')",Unknown
2025-10-31T18:24:56.207843Z,690466917ea85a3109f48ddb,,200,True,435.25,3.67,124.79,204.13,0.17,102.49,,Website
2025-10-31T18:23:55.528447Z,6904ba06903bb6c7908e8c4e,,200,True,309.24,2.65,150.8,107.08,0.11,48.61,,API
2025-10-31T18:23:53.280142Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2243 ms: Could not connect to server')",Unknown
2025-10-31T18:23:52.333322Z,690466917ea85a3109f48ddb,,200,True,401.19,3.16,92.61,207.13,0.23,98.05,,Website
2025-10-31T18:22:46.325100Z,6904ba06903bb6c7908e8c4e,,200,True,305.39,3.04,90.41,106.09,0.61,105.25,,API
2025-10-31T18:22:46.105784Z,69048504db729802ac7149e9,,503,False,213.0,0.03,211.12,0,0.28,1.56,,API
2025-10-31T18:22:45.157292Z,690466917ea85a3109f48ddb,,200,True,439.55,2.3,129.7,206.82,0.19,100.54,,Website
2025-10-31T18:22:14.563793Z,69044ea68e2cd2ae4369675f,,200,True,73.38,3.2,16.71,29.78,0.16,23.53,,API
2025-10-31T18:21:43.852553Z,6904ba06903bb6c7908e8c4e,,200,True,321.32,2.73,112.01,112.56,0.09,93.94,,API
2025-10-31T18:21:43.637085Z,69048504db729802ac7149e9,,200,True,204.94,0.03,202.61,0,0.15,2.16,,API
2025-10-31T18:21:42.732712Z,690466917ea85a3109f48ddb,,200,True,422.94,3.24,77.39,218.92,0.18,123.21,,Website
2025-10-31T18:20:42.039261Z,6904ba06903bb6c7908e8c4e,,200,True,343.91,2.82,49.32,86.71,0.64,204.42,,API
2025-10-31T18:20:41.815603Z,69048504db729802ac7149e9,,200,True,213.71,0.06,209.72,0,0.26,3.68,,API
2025-10-31T18:20:40.864639Z,690466917ea85a3109f48ddb,,200,True,461.82,4.5,155.21,183.92,0.37,117.83,,Website
2025-10-31T18:19:00.025674Z,6904ba06903bb6c7908e8c4e,,200,True,265.45,5.06,86.4,112.4,0.73,60.85,,API
2025-10-31T18:18:57.752785Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2256 ms: Could not connect to server')",Unknown
2025-10-31T18:18:56.630093Z,690466917ea85a3109f48ddb,,200,True,611.33,4.69,104.48,308.59,0.77,192.79,,Website
2025-10-31T18:17:56.021323Z,6904ba06903bb6c7908e8c4e,,200,True,199.49,3.52,51.74,69.75,0.18,74.3,,API
2025-10-31T18:17:53.745046Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2265 ms: Could not connect to server')",Unknown
2025-10-31T18:17:52.824225Z,690466917ea85a3109f48ddb,,200,True,301.72,4.05,70.06,150.45,0.23,76.94,,Website
2025-10-31T18:16:52.070194Z,6904ba06903bb6c7908e8c4e,,200,True,351.92,4.75,100.14,129.87,0.12,117.04,,API
2025-10-31T18:16:49.812520Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2250 ms: Could not connect to server')",Unknown
2025-10-31T18:16:48.655143Z,690466917ea85a3109f48ddb,,200,True,460.19,3.91,108.45,230.89,0.38,116.57,,Website
2025-10-31T18:16:47.662020Z,69044ea68e2cd2ae4369675f,,200,True,82.37,3.67,16.65,39.77,0.22,22.07,,API
2025-10-31T18:15:46.978574Z,6904ba06903bb6c7908e8c4e,,200,True,263.38,3.34,66.41,147.86,0.44,45.32,,API
2025-10-31T18:15:44.721715Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2249 ms: Could not connect to server')",Unknown
2025-10-31T18:15:43.771397Z,690466917ea85a3109f48ddb,,200,True,432.82,6.43,119.11,204.0,0.28,103.0,,Website
2025-10-31T18:14:43.268600Z,6904ba06903bb6c7908e8c4e,,200,True,210.3,3.49,39.44,89.47,0.14,77.77,,API
2025-10-31T18:14:41.028855Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2232 ms: Could not connect to server')",Unknown
2025-10-31T18:14:40.126161Z,690466917ea85a3109f48ddb,,200,True,406.92,3.59,96.29,204.16,0.21,102.67,,Website
2025-10-31T18:13:39.374105Z,6904ba06903bb6c7908e8c4e,,200,True,326.42,3.69,89.57,115.12,0.65,117.38,,API
2025-10-31T18:13:37.129527Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2238 ms: Could not connect to server')",Unknown
2025-10-31T18:13:36.160779Z,690466917ea85a3109f48ddb,,200,True,430.52,3.19,115.83,206.32,0.3,104.89,,Website
2025-10-31T18:12:35.573862Z,6904ba06903bb6c7908e8c4e,,200,True,176.62,3.48,50.9,72.82,0.63,48.8,,API
2025-10-31T18:12:33.302705Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2262 ms: Could not connect to server')",Unknown
2025-10-31T18:12:32.314954Z,690466917ea85a3109f48ddb,,200,True,406.17,3.43,94.23,234.42,0.56,73.53,,Website
2025-10-31T18:11:31.571913Z,6904ba06903bb6c7908e8c4e,,200,True,309.47,3.75,113.9,88.8,0.14,102.89,,API
2025-10-31T18:11:29.328380Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2235 ms: Could not connect to server')",Unknown
2025-10-31T18:11:28.306524Z,690466917ea85a3109f48ddb,,200,True,520.63,3.93,108.47,300.28,0.19,107.77,,Website
2025-10-31T18:11:27.845439Z,69044ea68e2cd2ae4369675f,,200,True,179.87,3.34,18.25,27.47,0.25,130.56,,API
2025-10-31T18:10:26.754116Z,6904ba06903bb6c7908e8c4e,,200,True,231.41,3.39,69.68,113.79,0.11,44.44,,API
2025-10-31T18:10:24.481532Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2265 ms: Could not connect to server')",Unknown
2025-10-31T18:10:23.279442Z,690466917ea85a3109f48ddb,,200,True,480.37,3.67,96.31,247.74,0.22,132.43,,Website
2025-10-31T18:09:22.456545Z,6904ba06903bb6c7908e8c4e,,200,True,306.88,3.81,73.47,135.82,0.7,93.09,,API
2025-10-31T18:09:20.200853Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2248 ms: Could not connect to server')",Unknown
2025-10-31T18:09:19.281997Z,690466917ea85a3109f48ddb,,200,True,405.55,3.79,91.68,208.32,0.22,101.53,,Website
2025-10-31T18:08:18.567454Z,6904ba06903bb6c7908e8c4e,,200,True,298.68,3.57,82.14,115.26,0.12,97.58,,API
2025-10-31T18:08:16.304436Z,69048504db729802ac7149e9,,,False,,,,,,,"(7, 'Failed to connect to localhost port 7000 after 2252 ms: Could not connect to server')",Unknown
